a.word,princess_word_count,dracula_word_count,total
follow,2,37,39
covered,21,18,39
won,17,22,39
name,20,19,39
nor,6,33,39
money,23,16,39
sudden,14,25,39
broke,20,19,39
early,3,35,38
figure,16,22,38
shook,7,31,38
beside,4,34,38
free,2,36,38
task,1,37,38
telling,14,24,38
truth,17,21,38
train,2,36,38
slept,4,34,38
search,11,27,38
waiting,8,29,37
followed,8,29,37
often,19,18,37
grave,3,34,37
brave,4,33,37
soft,23,14,37
neck,6,31,37
interest,7,30,37
laughed,22,15,37
cheeks,17,20,37
paper,12,24,36
person,25,11,36
written,6,30,36
during,13,23,36
makes,17,19,36
loved,10,26,36
steps,16,20,36
carriage,16,20,36
flowers,9,27,36
arm,9,27,36
stop,17,19,36
secret,19,17,36
purpose,1,35,36
tears,15,21,36
questions,10,26,36
holding,7,29,36
cook,33,3,36
wake,2,34,36
talking,18,18,36
certainly,9,26,35
sleeping,2,33,35
quietly,15,20,35
beggar,33,2,35
somewhat,2,33,35
save,2,33,35
empty,8,27,35
windows,16,19,35
cut,1,34,35
promise,2,33,35
sharp,9,26,35
fixed,7,28,35
dog,3,32,35
anxious,7,28,35
knees,13,22,35
further,1,33,34
un,6,28,34
added,9,25,34
growing,11,23,34
tea,13,21,34
minute,16,18,34
necessary,9,25,34
awful,4,30,34
yesterday,6,28,34
whatever,7,27,34
somewhere,8,26,34
pupil,33,1,34
softly,14,20,34
yourself,12,22,34
reason,6,28,34
remain,12,22,34
wide,5,29,34
carried,12,22,34
died,19,15,34
safe,9,25,34
stairs,25,8,33
swept,9,24,33
green,14,19,33
act,1,32,33
ah,4,29,33
bent,7,26,33
ago,7,26,33
hot,23,10,33
bag,2,31,33
mist,3,30,33
awake,7,26,33
places,9,24,33
sake,5,28,33
breast,12,21,33
fond,30,3,33
business,10,22,32
doctor,3,29,32
pointed,1,31,32
turning,10,22,32
move,5,27,32
means,8,24,32
state,3,29,32
wouldn,17,15,32
mad,4,28,32
locked,4,28,32
lifted,13,19,32
horrible,5,27,32
waited,3,29,32
couldn,17,15,32
top,10,22,32
returned,10,22,32
thoughts,11,20,31
supper,14,17,31
stories,30,1,31
showed,9,22,31
shoulder,10,21,31
ye,1,30,31
august,1,30,31
ought,22,9,31
lose,8,23,31
learned,16,15,31
kissed,12,19,31
interested,23,8,31
walked,15,16,31
wrong,5,26,31
fog,4,27,31
crying,15,16,31
experience,3,28,31
blue,16,15,31
dust,2,29,31
breakfast,5,26,31
start,4,26,30
remembered,18,12,30
party,17,13,30
angry,15,15,30
effect,2,28,30
finished,10,20,30
easy,15,15,30
color,16,14,30
exactly,15,15,30
paused,10,20,30
horror,2,28,30
darkness,6,24,30
appeared,18,12,30
spoken,7,23,30
piece,19,11,30
clothes,16,14,30
surprise,7,22,29
evil,5,24,29
monkey,28,1,29
pause,1,28,29
drove,10,19,29
stand,15,14,29
noticed,5,24,29
number,11,18,29
lived,23,6,29
liked,26,3,29
someone,22,7,29
leaving,7,22,29
second,10,19,29
arrived,7,22,29
putting,8,21,29
jumped,13,16,29
yours,6,23,29
rooms,8,21,29
explained,23,6,29
nearly,8,20,28
straight,6,22,28
fine,8,20,28
point,3,25,28
pocket,17,11,28
street,15,13,28
mamma,27,1,28
howling,4,24,28
sorry,18,10,28
cross,11,17,28
attendant,2,26,28
breathing,1,27,28
scarcely,27,1,28
looks,11,17,28
longer,11,17,28
rich,25,3,28
wolf,2,26,28
subject,5,23,28
talked,19,9,28
ain,14,14,28
enter,6,22,28
five,8,20,28
whether,9,19,28
fair,3,25,28
downstairs,20,7,27
dreadful,7,20,27
glass,4,23,27
country,3,24,27
gray,14,13,27
worse,9,18,27
satisfied,3,24,27
fast,12,15,27
sister,17,10,27
touch,5,22,27
fortune,20,7,27
remained,7,20,27
begun,13,14,27
india,25,2,27
sign,2,25,27
edge,5,22,27
wants,10,17,27
stone,3,24,27
lie,4,23,27
terror,2,25,27
trees,3,24,27
living,9,18,27
lying,4,23,27
clear,11,16,27
sky,8,19,27
excitement,13,14,27
servants,16,10,26
eye,6,20,26
unhappy,14,12,26
passing,11,15,26
lives,3,23,26
rat,22,4,26
self,6,20,26
beyond,2,24,26
diamond,24,2,26
whisper,12,14,26
break,6,20,26
unless,4,22,26
journey,6,20,26
fresh,2,24,26
opportunity,4,22,26
surely,4,22,26
reached,15,11,26
walk,8,18,26
comfortable,18,8,26
thus,1,25,26
expression,15,11,26
pulled,8,17,25
happen,12,13,25
habit,2,23,25
changed,13,12,25
station,2,23,25
pity,1,24,25
joy,9,16,25
clouds,5,20,25
maid,19,6,25
grow,4,21,25
toward,24,1,25
wishes,4,21,25
lot,9,16,25
rushed,2,23,25
below,3,22,25
understood,13,12,25
prepared,1,24,25
lies,3,22,25
dread,3,21,24
sense,6,18,24
wrote,6,18,24
passage,4,20,24
nodded,5,19,24
weak,4,20,24
week,8,16,24
square,20,4,24
doesn,14,10,24
midst,12,12,24
mere,14,10,24
account,1,23,24
grown,12,12,24
play,10,14,24
fallen,5,19,24
working,4,20,24
faint,8,16,24
bitter,3,21,24
lit,1,23,24
listen,18,6,24
presently,4,20,24
drawn,4,20,24
lessons,23,1,24
thick,11,13,24
news,4,20,24
question,9,15,24
knowing,8,16,24
common,1,23,24
instead,12,12,24
difficulty,2,22,24
neither,9,15,24
wet,19,4,23
received,6,17,23
led,9,14,23
stepped,3,20,23
darling,12,11,23
front,2,21,23
peace,1,22,23
town,1,22,23
form,4,19,23
sacred,3,20,23
weeks,12,11,23
roof,21,2,23
movement,3,20,23
nights,10,13,23
evident,5,18,23
ways,2,21,23
pleasure,7,16,23
age,7,16,23
dreams,4,19,23
memory,4,19,23
plan,11,12,23
guess,4,19,23
determined,5,17,22
calm,3,19,22
note,2,20,22
carry,7,15,22
board,3,19,22
forgot,16,6,22
horrid,6,16,22
among,14,8,22
anyone,15,7,22
shop,19,3,22
fears,1,21,22
slowly,16,6,22
creature,14,8,22
attention,8,14,22
wished,7,15,22
watched,8,14,22
treated,13,9,22
rate,2,20,22
pardon,10,12,22
boy,5,17,22
facts,1,21,22
falling,2,20,22
step,8,14,22
noble,1,21,22
above,4,18,22
startled,11,11,22
writing,3,19,22
sank,2,19,21
fancy,10,11,21
handed,2,19,21
carefully,2,19,21
harm,3,18,21
english,4,17,21
yer,11,10,21
gasped,19,2,21
isn,15,6,21
catch,8,13,21
reading,5,16,21
rats,9,12,21
kitchen,17,4,21
ladies,13,8,21
seconds,8,13,21
pressed,7,14,21
presence,2,19,21
listened,12,9,21
simple,5,16,21
stared,20,1,21
nose,6,15,21
standing,11,10,21
st,12,9,21
opening,7,14,21
moving,2,19,21
upset,1,20,21
gold,9,12,21
pray,1,19,20
courage,3,17,20
dressed,14,6,20
beat,2,18,20
iron,3,17,20
gently,3,17,20
lovely,9,11,20
ere,1,19,20
hat,7,13,20
fail,1,19,20
beauty,3,17,20
wasn,11,9,20
crossed,9,11,20
ten,6,14,20
sofa,3,17,20
asking,6,14,20
occurred,9,11,20
running,3,17,20
besides,5,15,20
cheerful,5,15,20
twice,6,14,20
food,7,13,20
kiss,2,18,20
belief,1,19,20
lamp,5,15,20
spirits,1,19,20
moments,8,12,20
bless,5,15,20
fat,18,2,20
tells,3,17,20
watching,6,14,20
ring,2,18,20
fall,2,18,20
visit,4,15,19
sorts,6,13,19
six,7,12,19
matters,2,17,19
walking,5,14,19
driven,10,9,19
dreaming,7,12,19
surprised,5,14,19
proud,12,7,19
sympathy,7,12,19
spell,6,13,19
fight,3,16,19
mysterious,10,9,19
walls,12,7,19
human,7,12,19
dropped,15,4,19
worn,6,13,19
special,7,12,19
reach,6,13,19
expect,10,9,19
lonely,10,9,19
rise,4,15,19
fly,3,16,19
fierce,3,16,19
sprang,8,11,19
secretary,18,1,19
warning,1,18,19
storm,1,18,19
solemn,7,11,18
tone,7,11,18
line,2,16,18
hole,13,5,18
centuries,1,17,18
forgotten,7,11,18
p,1,17,18
aid,2,16,18
anywhere,3,15,18
listening,16,2,18
therefore,1,17,18
alive,5,13,18
careful,1,17,18
streets,14,4,18
alarmed,13,5,18
flew,8,10,18
gathered,5,13,18
pleased,13,5,18
hurry,8,10,18
tall,4,14,18
clue,1,17,18
staring,14,4,18
dress,4,14,18
realized,10,8,18
distance,2,16,18
coal,14,4,18
greater,4,14,18
cat,4,14,18
spirit,3,15,18
dull,15,3,18
church,2,16,18
enemy,1,17,18
service,1,17,18
kill,1,17,18
fever,10,8,18
disturbed,7,10,17
fingers,4,13,17
interesting,7,10,17
tiny,7,10,17
forth,8,9,17
dearest,2,15,17
jack,1,16,17
throw,5,12,17
confidence,1,16,17
reply,3,14,17
keeping,1,16,17
filled,7,10,17
kindness,5,12,17
hers,8,9,17
king,2,15,17
houses,4,13,17
thousand,7,10,17
continued,1,16,17
strain,1,16,17
rage,9,8,17
sleepy,2,15,17
hearts,1,16,17
drive,2,15,17
relief,4,13,17
health,6,11,17
everybody,13,4,17
